repeat_training.thisRepN,repeat_training.thisTrialN,repeat_training.thisN,repeat_training.thisIndex,training_loop.thisRepN,training_loop.thisTrialN,training_loop.thisN,training_loop.thisIndex,show_images_t.thisRepN,show_images_t.thisTrialN,show_images_t.thisN,show_images_t.thisIndex,redisplay_image_loop_t.thisRepN,redisplay_image_loop_t.thisTrialN,redisplay_image_loop_t.thisN,redisplay_image_loop_t.thisIndex,show_images.thisRepN,show_images.thisTrialN,show_images.thisN,show_images.thisIndex,redisplay_image_loop.thisRepN,redisplay_image_loop.thisTrialN,redisplay_image_loop.thisN,redisplay_image_loop.thisIndex,initialTraining_sucessRate,initialTraining_loopNum,imagesVariation,imagesVariationSign,correctAnswerBoolean,correctAnswer,fullRoutineRT,locations,img1Colors,img2Colors,routineNumber,pressedKey,numOfCorrectAnswers,numOfWrongAnswers,numOfLoops,totalNumOfLoops,singleRoutineRT,totalNumOfTrials,trialsOrder,genderBoolean,shapeBoolean,handednessBoolean,participant,session,gender,age,handedness,number of years in education,shape,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,50.0,0,,,,,,,,,,,,,,,,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,50.0,1,,,,,,,,,,,,,,,,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,62.5,2,,,,,,,,,,,,,,,,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,87.5,3,,,,,,,,,,,,,,,,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,!=,False,0,2.79295540000021,"[[861, -255], [-677, -254], [-826, -145], [-491, 131]]","['blue', 'purple', 'green', 'orange']","['blue', 'purple', 'green', 'red']",0,p,0,1,0,0,1.7917964000007487,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,1,==,False,0,1.2779254999986733,"[[288, -50], [-281, -61], [259, -233], [-836, -70]]","['blue', 'red', 'orange', 'yellow']","['blue', 'red', 'orange', 'yellow']",1,q,0,2,0,0,0.27644099999997707,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,1,==,False,0,1.0010416000004625,"[[-98, 165], [886, 256], [853, 344], [-292, -444]]","['#ff94c0', 'red', 'green', 'blue']","['#ff94c0', 'red', 'green', 'blue']",2,q,0,3,0,0,0.0003177999988110969,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,,,1,==,True,1,1.0079137000011542,"[[653, -41], [865, 455], [474, 442], [249, 141]]","['red', '#ff94c0', 'green', 'yellow']","['red', '#ff94c0', 'green', 'yellow']",3,p,1,3,0,0,0.005171300001165946,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,4,0,4,0,0,0,0,0,,,1,==,True,1,0.9993111999992834,"[[65, 249], [-687, 132], [447, -334], [-309, -30]]","['purple', 'saddlebrown', 'yellow', 'cyan']","['purple', 'saddlebrown', 'yellow', 'cyan']",4,p,2,3,0,0,0.0003426000002946239,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,5,0,5,0,0,0,0,0,,,1,==,True,1,1.002596899999844,"[[826, -145], [-844, 247], [-653, -47], [294, 343]]","['cyan', 'red', 'saddlebrown', 'yellow']","['cyan', 'red', 'saddlebrown', 'yellow']",5,p,3,3,0,0,0.000318899999911082,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,6,0,6,0,0,0,0,0,,,0,!=,False,0,0.9995939999989787,"[[-308, 369], [285, 133], [-876, -37], [667, 450]]","['cyan', 'yellow', 'green', 'saddlebrown']","['cyan', 'yellow', 'green', 'red']",6,p,3,4,0,0,0.00031909999961499125,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,7,0,7,0,0,0,0,0,,,1,==,True,1,1.0024926000005507,"[[-702, 353], [680, -342], [499, -443], [820, -446]]","['#ff94c0', 'blue', 'orange', 'saddlebrown']","['#ff94c0', 'blue', 'orange', 'saddlebrown']",7,p,4,4,0,0,0.0003186000012647128,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,8,0,8,0,0,0,0,0,,,0,!=,True,1,1.0093554000013683,"[[-834, 245], [-864, -156], [851, 68], [886, 366]]","['orange', 'blue', 'yellow', 'green']","['orange', 'blue', 'yellow', 'red']",8,q,5,4,0,0,0.008914200001527206,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
